Year,Scientific Name,Country,Conservation Status
2018,Crocodylus moreletii,Belize,Least Concern
2015,Crocodylus acutus,Venezuela,Vulnerable
2010,Crocodylus intermedius,Venezuela,Critically Endangered
2019,Crocodylus moreletii,Mexico,Least Concern
2019,Crocodylus palustris,India,Vulnerable
2023,Crocodylus palustris,India,Vulnerable
2010,Crocodylus siamensis,Thailand,Critically Endangered
2020,Crocodylus suchus,Sudan,Least Concern
2016,Crocodylus moreletii,Mexico,Least Concern
2018,Osteolaemus tetraspis,Liberia,Vulnerable
2019,Crocodylus moreletii,Belize,Least Concern
2015,Crocodylus siamensis,Cambodia,Critically Endangered
2006,Crocodylus acutus,Mexico,Vulnerable
2010,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2007,Crocodylus moreletii,Mexico,Least Concern
2025,Crocodylus niloticus,Sudan,Least Concern
2017,Crocodylus porosus,Philippines,Least Concern
2013,Crocodylus niloticus,Tanzania,Least Concern
2007,Crocodylus rhombifer,Cuba,Critically Endangered
2017,Crocodylus niloticus,Kenya,Least Concern
2022,Crocodylus palustris,Pakistan,Vulnerable
2019,Crocodylus intermedius,Venezuela,Critically Endangered
2012,Crocodylus siamensis,Cambodia,Critically Endangered
2018,Crocodylus intermedius,Venezuela,Critically Endangered
2020,Crocodylus siamensis,Thailand,Critically Endangered
2014,Crocodylus acutus,United States,Vulnerable
2017,Crocodylus rhombifer,Cuba,Critically Endangered
2008,Crocodylus mindorensis,Philippines,Critically Endangered
2024,Crocodylus novaeguineae,Papua New Guinea,Least Concern
2022,Crocodylus mindorensis,Philippines,Critically Endangered
2021,Osteolaemus tetraspis,Ivory Coast,Vulnerable
2010,Mecistops cataphractus,Liberia,Critically Endangered
2014,Crocodylus johnstoni,Australia,Least Concern
2017,Crocodylus suchus,Senegal,Least Concern
2008,Crocodylus palustris,Pakistan,Vulnerable
2022,Crocodylus niloticus,South Africa,Least Concern
2008,Crocodylus siamensis,Thailand,Critically Endangered
2021,Crocodylus moreletii,Mexico,Least Concern
2006,Crocodylus moreletii,Guatemala,Least Concern
