Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Total Energy Consumption (TWh),Renewable Energy Share (%),Fossil Fuel Dependency (%)
2019,Crocodylus palustris,India,Vulnerable,2456300.05,1.78,5590.35,58.26,25.55
2014,Crocodylus acutus,United States,Vulnerable,5107209.96,16.04,8902.05,78.45,60.15
2014,Crocodylus johnstoni,Australia,Least Concern,371630.0,15.83,7877.71,15.97,51.74
2009,Crocodylus johnstoni,Australia,Least Concern,395290.01,18.22,3115.34,13.91,55.84
2006,Crocodylus johnstoni,Australia,Least Concern,375489.99,18.36,4586.42,80.67,10.92
2009,Crocodylus porosus,India,Least Concern,1564880.0,1.28,8863.77,38.36,20.15
2005,Crocodylus johnstoni,Australia,Least Concern,370090.0,18.34,7702.58,16.6,46.45
2017,Crocodylus johnstoni,Australia,Least Concern,389160.0,15.82,6876.99,76.5,22.58
2011,Crocodylus porosus,Australia,Least Concern,386380.0,17.3,5294.6,6.36,36.74
2007,Crocodylus porosus,India,Least Concern,1336739.99,1.12,2249.84,73.68,16.43
2018,Crocodylus acutus,United States,Vulnerable,4975310.06,15.22,3394.36,36.34,13.74
2013,Crocodylus johnstoni,Australia,Least Concern,380280.0,16.44,9695.5,52.38,61.23
2016,Crocodylus porosus,Australia,Least Concern,384989.99,15.91,7006.58,65.56,10.62
2018,Crocodylus johnstoni,Australia,Least Concern,387070.01,15.5,8293.94,67.77,57.01
2018,Crocodylus porosus,Australia,Least Concern,387070.01,15.5,8293.94,67.77,57.01
2012,Crocodylus porosus,India,Least Concern,1909439.94,1.5,6799.69,84.95,64.8
2015,Crocodylus johnstoni,Australia,Least Concern,377799.99,15.86,3338.29,73.36,27.25
2016,Crocodylus johnstoni,Australia,Least Concern,384989.99,15.91,7006.58,65.56,10.62
2012,Crocodylus johnstoni,Australia,Least Concern,386970.0,17.02,5429.56,81.88,45.31
2010,Crocodylus porosus,India,Least Concern,1659979.98,1.34,6486.32,11.3,54.44
2006,Crocodylus porosus,India,Least Concern,1215209.96,1.04,3188.52,63.62,71.97
2019,Crocodylus johnstoni,Australia,Least Concern,386530.0,15.25,1429.54,27.08,70.64
2010,Crocodylus porosus,Australia,Least Concern,387540.01,17.59,1124.01,63.61,29.35
2005,Crocodylus palustris,India,Vulnerable,1136469.97,0.98,9569.33,58.57,34.37
2006,Crocodylus palustris,India,Vulnerable,1215209.96,1.04,3188.52,63.62,71.97
2011,Crocodylus johnstoni,Australia,Least Concern,386380.0,17.3,5294.6,6.36,36.74
2009,Crocodylus palustris,India,Vulnerable,1564880.0,1.28,8863.77,38.36,20.15
2011,Crocodylus acutus,United States,Vulnerable,5173600.1,16.6,1777.72,11.37,61.68
2019,Crocodylus porosus,Australia,Least Concern,386530.0,15.25,1429.54,27.08,70.64
2017,Crocodylus palustris,India,Vulnerable,2320409.91,1.71,2227.22,29.55,35.92
2007,Crocodylus johnstoni,Australia,Least Concern,385750.0,18.52,1458.45,88.01,26.08
2017,Crocodylus porosus,Australia,Least Concern,389160.0,15.82,6876.99,76.5,22.58
