Year,Scientific Name,Country,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables
2015,Crocodylus acutus,Venezuela,Vulnerable,163130.0,5.34,30529722.0,558924234752.0,44.95,74.25
2010,Crocodylus intermedius,Venezuela,Critically Endangered,164100.01,5.71,28715026.0,478283169792.0,34.76,76.01
2010,Crocodylus siamensis,Thailand,Critically Endangered,234380.0,3.43,68270488.0,876003852288.0,141.72,8.58
2016,Crocodylus moreletii,Mexico,Least Concern,473310.0,3.89,121519224.0,1923887267840.0,239.78,52.97
2018,Osteolaemus tetraspis,Liberia,Vulnerable,1130.0,0.23,4889396.0,3936415744.0,0.32,0.0
2015,Crocodylus siamensis,Cambodia,Critically Endangered,8430.0,0.55,15417527.0,48358453248.0,2.1,2.16
2006,Crocodylus acutus,Mexico,Vulnerable,448299.99,4.19,106886792.0,1510627082240.0,182.76,43.63
2007,Crocodylus moreletii,Mexico,Least Concern,457120.0,4.22,108302976.0,1572355440640.0,191.83,42.14
2017,Crocodylus porosus,Philippines,Least Concern,133500.0,1.25,106738496.0,858818805760.0,71.03,23.35
2013,Crocodylus niloticus,Tanzania,Least Concern,10810.0,0.22,49253648.0,116367294464.0,3.53,2.24
2007,Crocodylus rhombifer,Cuba,Critically Endangered,27680.0,2.46,11269890.0,63463485440.0,14.67,1.93
2017,Crocodylus niloticus,Kenya,Least Concern,18980.0,0.39,48948140.0,163192143872.0,2.29,8.41
2012,Crocodylus siamensis,Cambodia,Critically Endangered,5670.0,0.38,14786650.0,39288827904.0,0.51,0.86
2018,Crocodylus intermedius,Venezuela,Critically Endangered,132130.0,4.43,29825652.0,309413019648.0,39.02,58.25
2014,Crocodylus acutus,United States,Vulnerable,5107209.96,16.04,322033952.0,16482662612992.0,2752.01,546.83
2017,Crocodylus rhombifer,Cuba,Critically Endangered,26240.0,2.31,11336405.0,90759331840.0,17.57,1.82
2008,Crocodylus mindorensis,Philippines,Critically Endangered,75150.0,0.82,91252328.0,507831517184.0,37.75,20.56
2010,Mecistops cataphractus,Liberia,Critically Endangered,730.0,0.18,4019958.0,3260614912.0,0.25,0.0
2014,Crocodylus johnstoni,Australia,Least Concern,371630.0,15.83,23469578.0,1117472423936.0,205.46,36.15
2017,Crocodylus suchus,Senegal,Least Concern,9800.0,0.65,15157793.0,40244772864.0,3.9,0.58
2008,Crocodylus palustris,Pakistan,Vulnerable,142160.0,0.76,185931952.0,746909335552.0,57.32,28.67
2008,Crocodylus siamensis,Thailand,Critically Endangered,227580.0,3.38,67328240.0,830943461376.0,127.43,8.95
2006,Crocodylus moreletii,Guatemala,Least Concern,11520.0,0.87,13412401.0,85203984384.0,3.68,4.61
2012,Crocodylus moreletii,Guatemala,Least Concern,12150.0,0.82,15128307.0,103417749504.0,3.38,5.94
2012,Crocodylus intermedius,Venezuela,Critically Endangered,181130.0,6.15,29470428.0,533462253568.0,37.27,81.24
2015,Mecistops cataphractus,Sierra Leone,Critically Endangered,910.0,0.12,7314779.0,9188877312.0,0.05,0.14
2009,Mecistops cataphractus,Sierra Leone,Critically Endangered,520.0,0.08,6259845.0,7073732608.0,0.04,0.02
2006,Crocodylus intermedius,Venezuela,Critically Endangered,147530.0,5.44,27102084.0,424502624256.0,27.12,80.78
2010,Mecistops cataphractus,Nigeria,Critically Endangered,90060.0,0.56,160952864.0,810068017152.0,18.56,6.33
2015,Crocodylus porosus,Indonesia,Least Concern,488549.99,1.89,259091968.0,2650203488256.0,209.71,33.56
2005,Crocodylus novaeguineae,Indonesia,Least Concern,342149.99,1.5,228805152.0,1467344879616.0,110.22,22.66
2015,Crocodylus siamensis,Vietnam,Critically Endangered,220649.99,2.39,92191400.0,543931138048.0,100.52,57.43
2014,Osteolaemus tetraspis,Cameroon,Vulnerable,8250.0,0.37,22299590.0,63390306304.0,2.33,4.34
2015,Crocodylus niloticus,Kenya,Least Concern,17210.0,0.37,46851496.0,146192515072.0,1.43,8.44
2009,Crocodylus johnstoni,Australia,Least Concern,395290.01,18.22,21660898.0,964937515008.0,216.42,18.32
2005,Crocodylus rhombifer,Cuba,Critically Endangered,26320.0,2.34,11246113.0,53114044416.0,11.88,2.57
